year,discipline,athlete_count
2010,Skeleton (Bobsleigh),48
2010,Ski Jumping (Skiing),67
2010,Snowboarding (Skiing),188
2010,Speed Skating (Skating),177
2010,Swimming (Aquatics),102
2010,Table Tennis,12
2010,Taekwondo,8
2010,Tennis,9
2010,Trampolining (Gymnastics),4
2010,Triathlon,2
2010,Volleyball (Volleyball),2
2010,Weightlifting,22
2010,Wrestling,5
2012,Alpine Skiing (Skiing),26
2012,Archery,128
2012,Artistic Gymnastics (Gymnastics),193
2012,Artistic Swimming (Aquatics),101
2012,Athletics,2088
2012,Badminton,172
2012,Basketball (Basketball),284
2012,Beach Volleyball (Volleyball),96
2012,Biathlon,17
2012,Bobsleigh (Bobsleigh),8
2012,Boxing,283
2012,Canoe Slalom (Canoeing),83
2012,Canoe Sprint (Canoeing),249
2012,Cross Country Skiing (Skiing),6
2012,Curling,2
2012,Cycling BMX Racing (Cycling),48
2012,Cycling Mountain Bike (Cycling),76
2012,Cycling Road (Cycling),209
2012,Cycling Track (Cycling),167
2012,Diving (Aquatics),135
2012,Equestrian Dressage (Equestrian),50
2012,Equestrian Eventing (Equestrian),74
2012,Equestrian Jumping (Equestrian),75
2012,Fencing,244
2012,Figure Skating (Skating),12
2012,Football (Football),484
2012,Freestyle Skiing (Skiing),10
2012,Handball,348
2012,Hockey,405
2012,Ice Hockey (Ice Hockey),4
2012,Judo,385
2012,Luge,19
2012,Marathon Swimming (Aquatics),45
2012,Mixed Sports,14
2012,Modern Pentathlon,72
2012,Nordic Combined (Skiing),5
2012,Rhythmic Gymnastics (Gymnastics),95
2012,Rowing,542
2012,Sailing,380
2012,Shooting,390
2012,Short Track Speed Skating (Skating),5
2012,Skeleton (Bobsleigh),2
2012,Ski Jumping (Skiing),8
2012,Snowboarding (Skiing),10
2012,Speed Skating (Skating),9
2012,Swimming (Aquatics),882
2012,Table Tennis,174
2012,Taekwondo,128
2012,Tennis,186
2012,Trampolining (Gymnastics),32
2012,Triathlon,110
2012,Volleyball (Volleyball),282
2012,Water Polo (Aquatics),256
2012,Weightlifting,250
2012,Wrestling,338
2014,Alpine Skiing (Skiing),310
2014,Archery,7
2014,Artistic Gymnastics (Gymnastics),9
2014,Athletics,24
2014,Badminton,3
2014,Biathlon,204
2014,Bobsleigh (Bobsleigh),172
2014,Boxing,8
2014,Canoe Sprint (Canoeing),2
2014,Cross Country Skiing (Skiing),291
2014,Curling,93
2014,Cycling Road (Cycling),1
2014,Diving (Aquatics),7
2014,Fencing,3
2014,Figure Skating (Skating),149
2014,Football (Football),1
2014,Freestyle Skiing (Skiing),266
2014,Golf,2
2014,Handball,5
2014,Hockey 5s,4
2014,Ice Hockey (Ice Hockey),452
2014,Judo,6
2014,Luge,108
2014,Modern Pentathlon,4
2014,Nordic Combined (Skiing),54
2014,Rhythmic Gymnastics (Gymnastics),2
2014,Rowing,7
2014,Rugby Sevens (Rugby),5
2014,Sailing,6
2014,Shooting,13
2014,Short Track Speed Skating (Skating),107
2014,Skeleton (Bobsleigh),47
2014,Ski Jumping (Skiing),96
2014,Snowboarding (Skiing),239
2014,Speed Skating (Skating),177
2014,Swimming (Aquatics),91
2014,Table Tennis,7
2014,Taekwondo,9
2014,Tennis,2
2014,Trampolining (Gymnastics),4
2014,Weightlifting,8
2014,Wrestling,1
2016,Alpine Skiing (Skiing),17
2016,Archery,128
2016,Artistic Gymnastics (Gymnastics),195
2016,Artistic Swimming (Aquatics),102
2016,Athletics,2277
2016,Badminton,172
2016,Basketball (Basketball),280
2016,Beach Volleyball (Volleyball),96
2016,Biathlon,1
2016,Bobsleigh (Bobsleigh),1
2016,Boxing,283
2016,Canoe Slalom (Canoeing),83
2016,Canoe Sprint (Canoeing),247
2016,Cross Country Skiing (Skiing),8
2016,Cycling BMX Racing (Cycling),48
2016,Cycling Mountain Bike (Cycling),75
2016,Cycling Road (Cycling),212
2016,Cycling Track (Cycling),178
2016,Diving (Aquatics),136
2016,Equestrian Dressage (Equestrian),60
2016,Equestrian Eventing (Equestrian),65
2016,Equestrian Jumping (Equestrian),75
2016,Fencing,245
2016,Figure Skating (Skating),11
2016,Football (Football),479
2016,Freestyle Skiing (Skiing),9
2016,Golf,120
2016,Handball,353
2016,Hockey,399
2016,Ice Hockey (Ice Hockey),4
2016,Judo,389
2016,Luge,10
2016,Marathon Swimming (Aquatics),45
2016,Mixed Sports,12
2016,Modern Pentathlon,72
2016,Rhythmic Gymnastics (Gymnastics),96
2016,Rowing,545
2016,Rugby Sevens (Rugby),299
2016,Sailing,380
2016,Shooting,390
2016,Short Track Speed Skating (Skating),8
2016,Skeleton (Bobsleigh),1
2016,Ski Jumping (Skiing),3
2016,Snowboarding (Skiing),13
2016,Speed Skating (Skating),7
2016,Swimming (Aquatics),896
2016,Table Tennis,172
2016,Taekwondo,127
2016,Tennis,196
2016,Trampolining (Gymnastics),32
2016,Triathlon,110
2016,Volleyball (Volleyball),283
2016,Water Polo (Aquatics),256
2016,Weightlifting,254
2016,Wrestling,347
2018,3x3 Basketball (Basketball),1
2018,Alpine Skiing (Skiing),307
2018,Biathlon,200
2018,Bobsleigh (Bobsleigh),167
2018,Cross Country Skiing (Skiing),289
2018,Curling,105
2018,Diving (Aquatics),2
2018,Figure Skating (Skating),153
2018,Freestyle Skiing (Skiing),267
2018,Ice Hockey (Ice Hockey),464
2018,Luge,110
2018,Nordic Combined (Skiing),51
2018,Roller Skating (Roller Sports),1
2018,Short Track Speed Skating (Skating),109
2018,Skeleton (Bobsleigh),50
2018,Ski Jumping (Skiing),99
2018,Snowboarding (Skiing),245
2018,Speed Skating (Skating),183
2018,Swimming (Aquatics),12
2018,Table Tennis,3
2018,Triathlon,1
2020,3-on-3 Ice Hockey (Ice Hockey),195
2020,3x3 Basketball (Basketball),63
2020,Alpine Skiing (Skiing),158
2020,Archery,122
2020,Artistic Gymnastics (Gymnastics),179
2020,Artistic Swimming (Aquatics),104
2020,Athletics,1911
2020,Badminton,157
2020,Baseball (Baseball/Softball),144
2020,Basketball (Basketball),287
2020,Beach Volleyball (Volleyball),88
2020,Biathlon,196
2020,Bobsleigh (Bobsleigh),36
2020,Boxing,271
2020,Canoe Slalom (Canoeing),79
2020,Canoe Sprint (Canoeing),239
2020,Cross Country Skiing (Skiing),167
2020,Curling,96
2020,Cycling BMX Freestyle (Cycling),17
2020,Cycling BMX Racing (Cycling),44
2020,Cycling Mountain Bike (Cycling),71
2020,Cycling Road (Cycling),188
2020,Cycling Track (Cycling),189
2020,Diving (Aquatics),132
2020,Equestrian Dressage (Equestrian),68
2020,Equestrian Eventing (Equestrian),73
2020,Equestrian Jumping (Equestrian),88
2020,Fencing,239
2020,Figure Skating (Skating),71
2020,Football (Football),584
2020,Freestyle Skiing (Skiing),113
2020,Golf,115
2020,Handball,353
2020,Hockey,390
2020,Ice Hockey (Ice Hockey),203
2020,Judo,376
2020,Karate,81
2020,Luge,85
2020,Marathon Swimming (Aquatics),46
2020,Modern Pentathlon,64
2020,Nordic Combined (Skiing),47
2020,Rhythmic Gymnastics (Gymnastics),89
2020,Rowing,504
2020,Rugby Sevens (Rugby),299
2020,Sailing,340
2020,Shooting,340
2020,Short Track Speed Skating (Skating),61
2020,Skateboarding (Roller Sports),80
2020,Skeleton (Bobsleigh),40
2020,Ski Jumping (Skiing),71
2020,Ski Mountaineering,48
2020,Snowboarding (Skiing),126
2020,Softball (Baseball/Softball),90
2020,Speed Skating (Skating),64
2020,Sport Climbing,38
2020,Surfing,39
2020,Swimming (Aquatics),770
2020,Table Tennis,161
2020,Taekwondo,116
2020,Tennis,176
2020,Trampolining (Gymnastics),28
2020,Triathlon,106
2020,Volleyball (Volleyball),282
2020,Water Polo (Aquatics),284
2020,Weightlifting,178
2020,Wrestling,271
2022,Alpine Skiing (Skiing),264
2022,Biathlon,176
2022,Bobsleigh (Bobsleigh),146
2022,Cross Country Skiing (Skiing),256
2022,Curling,101
2022,Figure Skating (Skating),130
2022,Freestyle Skiing (Skiing),236
2022,Ice Hockey (Ice Hockey),441
2022,Luge,87
2022,Nordic Combined (Skiing),51
2022,Short Track Speed Skating (Skating),98
2022,Skeleton (Bobsleigh),42
2022,Ski Jumping (Skiing),85
2022,Snowboarding (Skiing),205
2022,Speed Skating (Skating),151
