year,country,total
2016,Germany,164
2016,Greece,7
2016,Grenada,1
2016,Hungary,25
2016,India,2
2016,Individual Olympic Athletes,2
2016,Indonesia,4
2016,Iran,8
2016,Ireland,3
2016,Israel,2
2016,Italy,72
2016,Ivory Coast,2
2016,Jamaica,30
2016,Japan,66
2016,Jordan,1
2016,Kazakhstan,18
2016,Kenya,13
2016,Kosovo,1
2016,Latvia,4
2016,Lithuania,7
2016,Malaysia,8
2016,Mexico,5
2016,Mongolia,2
2016,Morocco,1
2016,Netherlands,47
2016,New Zealand,38
2016,Niger,1
2016,Nigeria,18
2016,North Korea,7
2016,Norway,21
2016,Philippines,1
2016,Poland,16
2016,Portugal,1
2016,Puerto Rico,1
2016,Qatar,1
2016,Romania,16
2016,Russia,123
2016,Serbia,53
2016,Slovakia,8
2016,Slovenia,9
2016,South Africa,23
2016,South Korea,39
2016,Spain,45
2016,Sweden,28
2016,Switzerland,15
2016,Taiwan,3
2016,Tajikistan,1
2016,Thailand,6
2016,Trinidad,1
2016,Tunisia,3
2016,Turkey,8
2016,UK,145
2016,Ukraine,15
2016,United Arab Emirates,1
2016,United States of America,270
2016,Uzbekistan,13
2016,Venezuela,3
2016,Vietnam,2
2018,Australia,3
2018,Austria,26
2018,Belarus,6
2018,Belgium,1
2018,Canada,91
2018,China,14
2018,Czech Republic,10
2018,Finland,26
2018,France,26
2018,Germany,78
2018,Hungary,7
2018,Italy,15
2018,Japan,19
2018,Kazakhstan,1
2018,Kyrgyzstan,1
2018,Latvia,2
2018,Liechtenstein,1
2018,Netherlands,30
2018,New Zealand,2
2018,Norway,68
2018,Poland,5
2018,Russia,55
2018,Serbia,1
2018,Slovakia,3
2018,Slovenia,2
2018,South Korea,30
2018,Spain,2
2018,Sweden,30
2018,Switzerland,25
2018,UK,5
2018,Ukraine,1
2018,United States of America,61
2020,Argentina,34
2020,Armenia,4
2020,Australia,125
2020,Austria,31
2020,Azerbaijan,7
2020,Bahamas,2
2020,Bahrain,1
2020,Belarus,11
2020,Belgium,26
2020,Bermuda,1
2020,Botswana,4
2020,Brazil,54
2020,Bulgaria,11
2020,Burkina Faso,1
2020,Canada,107
2020,China,157
2020,Colombia,6
2020,Croatia,10
2020,Cuba,16
2020,Czech Republic,20
2020,Denmark,32
2020,Dominican Republic,32
2020,Ecuador,3
2020,Egypt,4
2020,Estonia,9
2020,Ethiopia,4
2020,Fiji,26
2020,Finland,11
2020,France,165
2020,Georgia,12
2020,Germany,108
2020,Ghana,1
2020,Greece,16
2020,Grenada,1
2020,Hungary,54
2020,India,23
2020,Indonesia,5
2020,Iran,6
2020,Ireland,7
2020,Israel,13
2020,Italy,85
2020,Ivory Coast,1
2020,Jamaica,18
2020,Japan,170
2020,Jordan,2
2020,Kazakhstan,8
2020,Kenya,10
2020,Kosovo,2
2020,Kuwait,1
2020,Kyrgyzstan,3
2020,Latvia,14
2020,Liechtenstein,1
2020,Lithuania,2
2020,Luxembourg,1
2020,Macedonia,1
2020,Malaysia,3
2020,Mexico,25
2020,Moldova,1
2020,Mongolia,4
2020,Morocco,1
2020,Namibia,1
2020,Netherlands,77
2020,New Zealand,67
2020,Nigeria,2
2020,Norway,43
2020,Philippines,4
2020,Poland,37
2020,Portugal,3
2020,Puerto Rico,1
2020,Qatar,4
2020,Romania,11
2020,Russia,212
2020,San Marino,4
2020,Saudi Arabia,1
2020,Serbia,35
2020,Slovakia,28
2020,Slovenia,9
2020,South Africa,3
2020,South Korea,50
2020,Spain,80
2020,Sweden,66
2020,Switzerland,48
2020,Syria,1
2020,Taiwan,15
2020,Thailand,2
2020,Turkey,14
2020,Turkmenistan,1
2020,UK,133
2020,Uganda,4
2020,Ukraine,31
2020,United States of America,316
2020,Uzbekistan,4
2020,Venezuela,4
2022,Australia,4
2022,Austria,30
2022,Belarus,2
2022,Belgium,2
2022,Canada,65
2022,China,26
2022,Czech Republic,2
2022,Estonia,1
2022,Finland,52
2022,France,23
2022,Germany,57
2022,Hungary,7
2022,Italy,24
2022,Japan,34
2022,Latvia,4
2022,Netherlands,23
2022,New Zealand,3
2022,Norway,55
2022,Poland,1
2022,Russia,82
2022,Slovakia,24
2022,Slovenia,13
2022,South Korea,16
2022,Spain,1
2022,Sweden,21
2022,Switzerland,15
2022,UK,8
2022,Ukraine,1
2022,United States of America,46
